word,subject,interpretation,example_portuguese_sentence,example_libras_sentence,grammar_class,word_origin,video_link,image_link,hand_image_link
A,NENHUM,Primeira letra do alfabeto da língua portuguesa; sinal gráfico elementar com que se representam os vocábulos na língua escrita.,Invente qualquer palavra que comece com a letra A.,VOCÊ INVENTAR QUALQUER PALAVRA COMEÇAR A.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/aSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg
ABACATE,FRUTA,"O fruto do abacateiro. Comestível, tem a polpa amarelada e macia. É consumido puro, com açúcar, em pratos salgados ou em vitaminas.",Você gosta de abacate com leite?,VOCÊ GOSTAR ABACATE LEITE JUNTO?,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacateSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abacateSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg53a.jpg
ABACAXI,FRUTA,"Fruta de casca grossa e áspera. Sua polpa pode ser consumida pura, em forma de sucos, doces e sorvetes.","Hoje tomei suco de abacaxi, ele estava ácido.",HOJE S-U-C-O ABACAXI BEBER ÁCID@.,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacaxiSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abacaxiSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg47.jpg
ABAFAR,NENHUM,"Cobrir ou fechar, para manter o calor.","Se você quer abafar seu quarto, é melhor fechar tudo.",S-I VOCÊ QUERER QUARTO SE@ ABAFAR A-R? MELHOR FECHAR-TUDO.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abafarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abafarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg07.jpg
ABAIXO,NENHUM,"Lugar, posição ou situação inferior, em relação a outros de nível mais elevado.","Não é no primeiro apartamento abaixo, é no segundo.",APARTAMENTO PRIMEIR@ NÃO SEGUND@ ABAIXO.,ADV.,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abaixoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg62.jpg
ABAIXO-ASSINADO,NENHUM,"Lista encaminhada a determinado destinatário, com a assinatura de pessoas que reivindicam ou manifestam sua opinião sobre um assunto.",Os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,SURD@ ABAIXO-ASSINADO PEDIR GOVERNO EMPREGO MAIS.,LOC. SUBST.,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abaixo-assinadoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg20.jpg
ABAJUR,CASA,Quebra-luz; peça usada para oferecer iluminação indireta em ambientes.,A lâmpada do abajur queimou.,coisa-cônicaLÂMPADA LÂMPADA-QUEIMAR .,SUBSTANTIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abajurSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abajurSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg51b.jpg
ABANAR,NENHUM,Agitar seguidamente um leque ou abano.,Está vendo aquela velha se abanando? Ela é avó da minha amiga.,2sOLHAR3s VELH@ ABANAR-LEQUE LÁ(ME) V-O-V-O AMIG@(MD).,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abanarSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abanarSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg04.jpg
ABANDONAR1,NENHUM,"Desprezar, largar, deixar de cuidar.",O carro velho foi abandonado naquela garagem.,AQUEL@ CARAGEM CARRO VELH@ ABANDONAR.,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abandonar1Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg33.jpg
ABANDONAR2,NENHUM,"Deixar pessoa ou algum objeto, sem intenção de retomá-lo.",Coitada dessa criança tão bonita dormindo na rua. Como seus pais tiveram coragem de abandoná-la?!,CRIANÇA BONIT@ DORMIR R-U-A COITAD@! P-A-I M-Ã-E DEL@ ABANDONAR CORAGEM?!,VERBO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abandonar2Sm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg
ABARROTADO,NENHUM,Muito cheio; ocupado acima da capacidade normal.,Ontem o metrô estava abarrotado de gente.,ONTEM METRÔ PESSOA MUIT@ ABARROTAD@ pessoaCHEI@,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abarrotadoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg07.jpg
ABASTADO,NENHUM,Possuidor de bens; rico; endinheirado.,"Ele é rico, abastado.",EL@ RIC@ ABASTAD@.,ADJETIVO,Nacional,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abastadoSm_Prog001.mp4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/images/abastadoSm_Prog001.jpg,https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg46b.jpg
