example_portuguese_sentence,example_libras_sentence
invente qualquer palavra que comece com a letra a.,você inventar qualquer palavra começar a.
você gosta de abacate com leite?,você gostar abacate leite junto?
"hoje tomei suco de abacaxi, ele estava ácido.",hoje suco abacaxi beber ácido.
"se você quer abafar seu quarto, é melhor fechar tudo.",si você querer quarto seo abafar ar? melhor fechartudo.
"não é no primeiro apartamento abaixo, é no segundo.",apartamento primeiro não segundo abaixo.
os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,surdo abaixoassinado pedir governo emprego mais.
a lâmpada do abajur queimou.,coisacônicalâmpada lâmpadaqueimar .
está vendo aquela velha se abanando? ela é avó da minha amiga.,2solhar3s velho abanarleque lá(me) vovo amigo(md).
o carro velho foi abandonado naquela garagem.,aquelo caragem carro velho abandonar.
coitada dessa criança tão bonita dormindo na rua. como seus pais tiveram coragem de abandoná-la?!,criança bonito dormir rua coitado! pai mãe delo abandonar coragem?!
ontem o metrô estava abarrotado de gente.,ontem metrô pessoa muito abarrotado pessoacheio
"ele é rico, abastado.",elo rico abastado.
a família consolou a viúva que estava abatida.,família consolar mulher viúvo abatido
você pode fazer abatimento dos gastos hospitalares no imposto de renda.,hospital gastar você i.r. abatimento poder.
o coronel abdicou de tornar-se major do exército.,homem aquelo coronel abdicar major exercito.
o médico me mandou tirar raio-x do abdômen.,médico 3smandar1s raiox abdômen.
o mel de abelha é bom contra a tosse.,mel abelha boo tosse.
eu orei a deus para abençoar minha vida.,eu orar deus abençoar vida bem.
"no final do culto, o pastor abençoou a todos.",fim culto pastor abençoartodos.
ontem você deixou a porta da sala aberta.,ontem você casa portaaberto deixar sala.
o curso de computação vai estar aberto no sábado.,curso computador ter aberto sábado.
"a abertura do seminário do mec, na semana passada, foi ótima!",semana passado abertura seminário mec ótimo!
"estou abismado, que casa tão grande e tão bonita!",abismado casa grandemuito bonitomuito!
"eu já comi doce de abóbora, é gostoso!",doce laranja^coisavolumosaarredondada comer já gostoso!
eu nunca comi abóbora verde.,verde coisasinuosa eu comer nunca.
hoje não encontrei abobrinha na feira.,hoje feira procurar encontrar não abobrinha.
o jacaré abocanhou a cobra.,jacaré cobra abocanhar.
"antigamente os escravos negros sofriam. mais tarde, conseguiram a abolição da escravatura.",antigamente negro sofrer escravoabolição conseguir.
meu chefe abonou minha falta e amanhã vou ter folga.,falta chefe 3sabonar1s. amanhã folgar.
"no banerj não tem abono, só paga o salário.",banco banerj ternão abono só salário.
não vale a pena se aborrecer.,aborrecer boo não.
ontem roubaram meu cachorro e eu fiquei muito aborrecido.,ontem roubar meo cachorro aborrecidomuito.
"no brasil, a mulher grávida só pode abortar em caso de problema de saúde.",brasil mulhergrávida poder abortar só problema saúde.
"minha esposa caiu e abortou; fiquei triste, porque queria um filho.",esposo mo pessoacairchão abortar eu triste querer filho.
a igreja proibe o aborto.,aborto igreja proibir.
você se esqueceu de abotoar a camisa do seu filho!,camisa seo filho abotoar esquecer!
eu sei fazer abracadabra e transformar um ovo em pinto!,eu saber ovo abracadabra transformar pinto.
ela abraçou o seu filho.,elo abraçar filho delo.
diga a sua esposa que mandei um abraço.,falar abraço esposo seo.
um bom abraço é gostoso.,abraço boo gostoso.
você fará a palestra no congresso de amanhã? precisa abreviar.,amanhã congresso você palestra? precisar abreviar.
eu abri a lata de tomate e ele estava podre.,eu abridordelataabrir tomate podre.
fui convidada pela empresa arno para assistir ao lançamento do novo abridor de latas automático.,empresa arno 3sconvidar1s assistir lançamento abridordelata novo automático.
meu cunhado construir um teto para abrigar o carro.,meo cunhado construir teto carro veículoabrigar.
"nós dois vamos procurar um abrigo, pois vai chover forte.",vai chover forte nós2 procurar abrigo.
eu nasci no mês de abril.,eu nascer abril.
eu abri a garrafa e bebi a água muito gelada.,eu abrirgarrafa água beber geladomuito.
"por favor, abra a janela da sala!",favor janela sala abrir!
não consigo abrir esta porta!,porta esto conseguirnão abrir!
não abra esta tampa porque está enferrujada!,tampaabrir não evitar enferrujado!
"cinco horas depois da operação do coração, mauro abriu os olhos.",mauro coração peitooperar hora 5 depois abrirolho.
o juiz absolveu o ladrão por falta de provas.,faltar prova ladrão juiz absolver.
eu vou à farmácia comprar um absorvente higiênico.,eu comprar absorventehigiênico farmácia.
"tem muita água no chão, pegue uma esponja para absorver.",chão água esparramar! pegar esponja absorver.
não consegui absorver a aula de história.,aula historia absorver conseguir não.
meu tio resolveu abster-se de doces para emagrecer.,tio meo emagrecer doce+ abster.
"o governo cobra iptu alto, que absurdo!",governo iptu cobrar absurdomuito!
"ele é muito abusado, não tem educação.",elo abusado educação ternão.
ele abusa de você!,elo abusar você!
já acabei o texto e estou aliviado.,texto preparar acabar aliviado<brrrru>.
"a novela acabou e, agora, vou dormir.tchau!",novela acabar ir<vou> dormir tchau.
"a aula já acabou, pode ir para casa.",aula acabar poder ir casa.
a água acabou. é preciso comprar novamente.,águar acabar precisar comprar outravez.
eu bebo um copo cheio de suco de açaí. é forte e saudável.,açaí bebercorpointeiro forte saúde.
o bebê estava chorando e eu o acalantei.,bebê chorarcontinuativo eu acalentar.
eu tomo remédio para me acalmar.,eu tomarremédio acalmar.
"é bom você se acalmar, você estudou muito!",você boo acalmar! você estudarmuito!
eu vi que na barra tem muitos lugares bonitos para acampamento.,eu ver já barra ter acampamento+ bonito.
"eu não quero acampar aqui, é perigoso. melhor outro lugar.",acampar eu aqui querernão perigoso melhor outro.
meu irmão é muito acanhado.,meo irmo acanhadomuito.
eu gosto de acariciar o bebê.,eu gostar acariciar bebê.
meu cachorro e a cadela dele vão ficar juntos para acasalar.,cachorro meo delo junto amanhã acasalar.
eu acatei o que o professor me aconselhou.,eu acatar professoro 3saconselhar1s.
você recebeu o salário em dinheiro? acautele-se e esconda-o no sapato.,você receber já sálario dinheiro? olhar já esconder sapato.
hoje meu amigo me convidou para jantar e eu aceitei.,amigo 3sconvidar1s jantar hoje eu aceitar.
"ontem o motorista do ônibus acelerou tanto, que eu quase caí.",ontem ônibus motorista acelerar eu quase pessoacair.
"o chefe não gosta que o trabalho atrase, você precisa trabalhar e acelerar sua produção.","chefe gostarnão trabalho atrasar, você precisar produção acelerar trabalhar."
"uma linda mulher passou e acenou, eu fiquei louco.",mulher lindomuito andar acenar eu louco!
"por favor, não acenda o farol do carro.",favor acenderfarol carro não.
não consigo acender o cigarro com esse isqueiro!,cigarro isqueiroacender conseguirnão!
"por favor, acenda a luz do meu quarto.",porfavor quarto meo acenderluz.
você acendeu a vela com o fósforo?,você fósforo acendervela já?
você esqueceu de colocar o acento circunflexo na palavra você.,você esquecer voce ^ não.
você não colocou acento agudo em vovo,você colocarnão vovo ´.
"anteontem, na favela, a polícia acercou-se e prendeu quatro ladrões. um fugiu.",anteontem favela polícia acercar ladrão 4 prender 1 fugir.
uma bala de revólver acertou a cabeça do menino.,menino pequeno acertartesta balarevolver.
eu acertei tudo na prova de matemática.,matematica prova eu acertardistributivo resposta+ tudo.
deixe a luz permanecer acesa durante toda a madrugada.,luz permanecer deixar aceso madrugadatodo ok!
essa sala dá acesso para o computador?,esso sala computador acesso?
é proibido o acesso das crianças à reunião.,reunião proibido criança+ acesso.
terça-feira passada eu estava procurando um armário e achei um pelo preço de 50 reais.,terça passado eu procurar achar armário preço 50.
"domingo, dia 16, vasco e flamengo vão competir. eu acho, com certeza, que o vasco vai ser campeão.",domingo dia 16 vasco flamengo competir eu achar certeza vasco campeão.
"ontem, no futebol, a bola que chutei com força bateu, por acidente, no rosto do meu amigo.",ontem eu futebol acidente bola forte chutar amigo meo baterrosto.
