example_portuguese_sentence,example_libras_sentence
invente qualquer palavra que comece com a letra a.,você inventar qualquer palavra começar a.
você gosta de abacate com leite?,você gostar abacate leite junto?
"hoje tomei suco de abacaxi, ele estava ácido.",hoje suco abacaxi beber ácido.
"se você quer abafar seu quarto, é melhor fechar tudo.",si você querer quarto seu abafar ar? melhor fechar tudo.
"não é no primeiro apartamento abaixo, é no segundo.",apartamento primeiro não segundo abaixo.
os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,surdo abaixo assinado pedir governo emprego mais.
a lâmpada do abajur queimou.,abajur lâmpada queimar .
está vendo aquela velha se abanando? ela é avó da minha amiga.,"olhar velho abanar leque lá, vovo amigo meu"
o carro velho foi abandonado naquela garagem.,aquele caragem carro velho abandonar.
coitada dessa criança tão bonita dormindo na rua. como seus pais tiveram coragem de abandoná-la?!,criança bonito dormir rua coitado! pai mãe dele abandonar coragem?!
ontem o metrô estava abarrotado de gente.,ontem metrô pessoa muito abarrotado pessoacheio
"ele é rico, abastado.",ele rico abastado.
a família consolou a viúva que estava abatida.,família consolar mulher viúvo abatido
você pode fazer abatimento dos gastos hospitalares no imposto de renda.,hospital gastar você imposto renda abatimento poder.
o coronel abdicou de tornar-se major do exército.,homem aquele coronel abdicar major exercito.
o médico me mandou tirar raio-x do abdômen.,médico mandar raiox abdômen.
o mel de abelha é bom contra a tosse.,mel abelha bom tosse.
eu orei a deus para abençoar minha vida.,eu orar deus abençoar vida bem.
"no final do culto, o pastor abençoou a todos.",fim culto pastor abençoar todos.
ontem você deixou a porta da sala aberta.,ontem você casa porta aberto deixar sala.
o curso de computação vai estar aberto no sábado.,curso computador ter aberto sábado.
"a abertura do seminário do mec, na semana passada, foi ótima!",semana passado abertura seminário mec ótimo!
"estou abismado, que casa tão grande e tão bonita!",abismado casa grande muito bonito muito!
"eu já comi doce de abóbora, é gostoso!",doce abóbora comer já gostoso!
eu nunca comi abóbora verde.,verde abóbora eu comer nunca.
hoje não encontrei abobrinha na feira.,hoje feira procurar encontrar não abobrinha.
o jacaré abocanhou a cobra.,jacaré cobra abocanhar.
"antigamente os escravos negros sofriam. mais tarde, conseguiram a abolição da escravatura.",antigamente negro sofrer escravo abolição conseguir.
meu chefe abonou minha falta e amanhã vou ter folga.,falta chefe abonar. amanhã folgar.
"no banerj não tem abono, só paga o salário.",banco banerj ter não abono só salário.
não vale a pena se aborrecer.,aborrecer bom não.
ontem roubaram meu cachorro e eu fiquei muito aborrecido.,ontem roubar meu cachorro aborrecido muito.
"no brasil, a mulher grávida só pode abortar em caso de problema de saúde.",brasil mulher grávida poder abortar só problema saúde.
"minha esposa caiu e abortou; fiquei triste, porque queria um filho.",esposa minha pessoa cair chão abortar eu triste querer filho.
a igreja proibe o aborto.,aborto igreja proibir.
você se esqueceu de abotoar a camisa do seu filho!,camisa seu filho abotoar esquecer!
eu sei fazer abracadabra e transformar um ovo em pinto!,eu saber ovo abracadabra transformar pinto.
ela abraçou o seu filho.,ela abraçar filho delo.
diga a sua esposa que mandei um abraço.,falar abraço esposo seu
um bom abraço é gostoso.,abraço bom gostoso.
você fará a palestra no congresso de amanhã? precisa abreviar.,amanhã congresso você palestra? precisar abreviar.
eu abri a lata de tomate e ele estava podre.,eu abridor de lata abrir tomate podre.
fui convidada pela empresa arno para assistir ao lançamento do novo abridor de latas automático.,empresa arno convidar assistir lançamento abridor de lata novo automático.
meu cunhado construir um teto para abrigar o carro.,meu cunhado construir teto carro veículo abrigar.
"nós dois vamos procurar um abrigo, pois vai chover forte.",vai chover forte nós dois procurar abrigo.
eu nasci no mês de abril.,eu nascer abril.
eu abri a garrafa e bebi a água muito gelada.,eu abrir garrafa água beber gelado muito.
"por favor, abra a janela da sala!",favor janela sala abrir!
não consigo abrir esta porta!,porta esto conseguir não abrir!
não abra esta tampa porque está enferrujada!,tampa abrir não evitar enferrujado!
"cinco horas depois da operação do coração, mauro abriu os olhos.",mauro coração peito operar hora 5 depois abrir olho.
o juiz absolveu o ladrão por falta de provas.,faltar prova ladrão juiz absolver.
eu vou à farmácia comprar um absorvente higiênico.,eu comprar absorvente higiênico farmácia.
"tem muita água no chão, pegue uma esponja para absorver.",chão água esparramar! pegar esponja absorver.
não consegui absorver a aula de história.,aula historia absorver conseguir não.
meu tio resolveu abster-se de doces para emagrecer.,tio meu emagrecer doce abster.
"o governo cobra iptu alto, que absurdo!",governo iptu cobrar absurdo muito!
"ele é muito abusado, não tem educação.",ele abusado educação ter não.
ele abusa de você!,ele abusar você!
já acabei o texto e estou aliviado.,texto preparar acabar aliviado.
"a novela acabou e, agora, vou dormir.tchau!",novela acabar eu ir dormir tchau.
"a aula já acabou, pode ir para casa.",aula acabar poder ir casa.
a água acabou. é preciso comprar novamente.,águar acabar precisar comprar outravez.
eu bebo um copo cheio de suco de açaí. é forte e saudável.,açaí beber corpo inteiro forte saúde.
o bebê estava chorando e eu o acalantei.,bebê chorar continua tive eu acalentar.
eu tomo remédio para me acalmar.,eu tomar remédio acalmar.
"é bom você se acalmar, você estudou muito!",você bom acalmar! você estudar muito!
eu vi que na barra tem muitos lugares bonitos para acampamento.,eu ver já barra ter acampamento bonito.
"eu não quero acampar aqui, é perigoso. melhor outro lugar.",acampar eu aqui querer não perigoso melhor outro.
meu irmão é muito acanhado.,meou irmão acanhado muito.
eu gosto de acariciar o bebê.,eu gostar acariciar bebê.
meu cachorro e a cadela dele vão ficar juntos para acasalar.,cachorro meu dele junto amanhã acasalar.
eu acatei o que o professor me aconselhou.,eu acatar professora conselhos.
você recebeu o salário em dinheiro? acautele-se e esconda-o no sapato.,você receber já sálario dinheiro? olhar já esconder sapato.
hoje meu amigo me convidou para jantar e eu aceitei.,amigo convidar jantar hoje eu aceitar.
"ontem o motorista do ônibus acelerou tanto, que eu quase caí.",ontem ônibus motorista acelerar eu quase cair.
"o chefe não gosta que o trabalho atrase, você precisa trabalhar e acelerar sua produção.","chefe gostar não trabalho atrasar, você precisar produção acelerar trabalhar."
"uma linda mulher passou e acenou, eu fiquei louco.",mulher linda muito andar acenar eu louco!
"por favor, não acenda o farol do carro.",favor acender farol carro não.
não consigo acender o cigarro com esse isqueiro!,cigarro isqueiro acender conseguir não!
"por favor, acenda a luz do meu quarto.",por favor quarto meu acender luz.
você acendeu a vela com o fósforo?,você fósforo acender vela já?
você esqueceu de colocar o acento circunflexo na palavra você.,você esquecer voce ^ não.
você não colocou acento agudo em vovo,você colocarnão vovo ´.
"anteontem, na favela, a polícia acercou-se e prendeu quatro ladrões. um fugiu.",anteontem favela polícia acercar ladrão 4 prender 1 fugir.
uma bala de revólver acertou a cabeça do menino.,menino pequeno acertar testa balar evolver.
eu acertei tudo na prova de matemática.,matematica prova eu resposta tudo.
deixe a luz permanecer acesa durante toda a madrugada.,luz permanecer deixar aceso madrugada toda ok!
essa sala dá acesso para o computador?,essa sala computador acesso?
é proibido o acesso das crianças à reunião.,reunião proibido criança acesso.
terça-feira passada eu estava procurando um armário e achei um pele preço de 50 reais.,terça passado eu procurar achar armário preço 50.
"domingo, dia 16, vasco e flamengo vão competir. eu acho, com certeza, que o vasco vai ser campeão.",domingo dia 16 vasco flamengo competir eu achar certeza vasco campeão.
"ontem, no futebol, a bola que chutei com força bateu, por acidente, no rosto do meu amigo.",ontem eu futebol acidente bola forte chutar amigo meu bater rosto.
"ontem, um colega de trabalho teve acidente de carro.",colega trabalho carro acidente ontem.
a lâmpada acima da prateleira queimou.,lâmpada queimar prateleira acima.
